iter	Passed	Remaining
0	35	35018
1	72	36203
2	104	34584
3	131	32622
4	163	32628
5	196	32525
6	226	32099
7	259	32216
8	290	32023
9	318	31525
10	346	31186
11	378	31131
12	409	31075
13	437	30837
14	464	30502
15	493	30339
16	520	30108
17	557	30393
18	600	31014
19	638	31263
20	668	31182
21	700	31127
22	732	31131
23	762	31020
24	792	30901
25	824	30880
26	853	30770
27	883	30665
28	909	30464
29	935	30258
30	961	30069
31	992	30025
32	1025	30046
33	1055	29985
34	1086	29959
35	1115	29878
36	1145	29809
37	1174	29733
38	1204	29692
39	1235	29661
40	1264	29567
41	1306	29804
42	1339	29803
43	1369	29757
44	1401	29743
45	1432	29702
46	1462	29652
47	1494	29636
48	1525	29614
49	1561	29663
50	1597	29721
51	1632	29770
52	1670	29844
53	1712	30003
54	1755	30159
55	1791	30201
56	1825	30194
57	1857	30173
58	1891	30174
59	1928	30205
60	1968	30295
61	2005	30338
62	2042	30385
63	2076	30365
64	2109	30338
65	2142	30313
66	2175	30296
67	2206	30244
68	2242	30259
69	2280	30300
70	2326	30435
71	2358	30398
72	2389	30345
73	2419	30280
74	2448	30203
75	2479	30141
76	2516	30165
77	2554	30199
78	2598	30297
79	2639	30359
80	2676	30361
81	2706	30303
82	2740	30279
83	2773	30243
84	2806	30214
85	2840	30187
86	2872	30140
87	2902	30081
88	2937	30063
89	2972	30053
90	3005	30022
91	3040	30008
92	3076	30001
93	3116	30037
94	3159	30100
95	3208	30215
96	3249	30250
97	3283	30218
98	3314	30161
99	3349	30145
100	3383	30120
101	3422	30128
102	3464	30168
103	3507	30215
104	3554	30295
105	3588	30261
106	3624	30251
107	3659	30222
108	3690	30165
109	3725	30143
110	3759	30112
111	3793	30080
112	3824	30017
113	3855	29961
114	3887	29918
115	3919	29869
116	3954	29843
117	3987	29803
118	4019	29758
119	4050	29705
120	4079	29636
121	4108	29567
122	4139	29514
123	4171	29472
124	4201	29407
125	4229	29337
126	4256	29258
127	4286	29199
128	4317	29148
129	4347	29093
130	4382	29073
131	4420	29065
132	4453	29030
133	4482	28971
134	4513	28919
135	4542	28858
136	4573	28808
137	4615	28830
138	4649	28800
139	4680	28751
140	4717	28739
141	4748	28693
142	4775	28618
143	4803	28555
144	4834	28505
145	4863	28449
146	4891	28385
147	4922	28335
148	4955	28301
149	4987	28261
150	5016	28207
151	5047	28157
152	5080	28122
153	5109	28070
154	5142	28034
155	5181	28035
156	5208	27969
157	5242	27939
158	5277	27914
159	5309	27876
160	5344	27849
161	5378	27820
162	5411	27786
163	5447	27768
164	5481	27740
165	5512	27693
166	5542	27645
167	5571	27592
168	5603	27551
169	5635	27514
170	5668	27478
171	5705	27466
172	5737	27429
173	5770	27393
174	5806	27372
175	5843	27357
176	5872	27305
177	5900	27247
178	5930	27202
179	5963	27166
180	5998	27140
181	6031	27107
182	6063	27069
183	6093	27025
184	6126	26990
185	6155	26937
186	6185	26893
187	6216	26852
188	6246	26802
189	6273	26746
190	6302	26695
191	6337	26669
192	6370	26635
193	6401	26596
194	6433	26557
195	6476	26565
196	6513	26550
197	6545	26513
198	6576	26470
199	6609	26438
200	6641	26401
201	6673	26362
202	6703	26320
203	6733	26274
204	6766	26241
205	6801	26215
206	6834	26181
207	6865	26142
208	6898	26107
209	6933	26084
210	6964	26044
211	6997	26009
212	7030	25976
213	7063	25944
214	7096	25908
215	7127	25871
216	7163	25847
217	7200	25831
218	7232	25791
219	7267	25765
220	7301	25735
221	7335	25707
222	7371	25683
223	7399	25632
224	7423	25568
225	7446	25502
226	7477	25463
227	7502	25403
228	7530	25353
229	7557	25302
230	7586	25255
231	7615	25209
232	7642	25156
233	7667	25099
234	7694	25048
235	7722	25000
236	7748	24946
237	7774	24891
238	7802	24843
239	7840	24828
240	7874	24798
241	7902	24753
242	7927	24696
243	7953	24642
244	7978	24585
245	8004	24532
246	8027	24471
247	8049	24408
248	8073	24350
249	8098	24296
250	8127	24253
251	8157	24214
252	8187	24174
253	8216	24130
254	8244	24086
255	8273	24045
256	8298	23990
257	8327	23948
258	8354	23901
259	8380	23852
260	8405	23800
261	8429	23745
262	8457	23700
263	8482	23646
264	8513	23613
265	8543	23574
266	8569	23525
267	8595	23476
268	8621	23429
269	8649	23385
270	8677	23343
271	8710	23312
272	8737	23267
273	8760	23212
274	8788	23168
275	8814	23123
276	8844	23085
277	8870	23038
278	8894	22986
279	8924	22948
280	8954	22911
281	8981	22867
282	9011	22830
283	9038	22786
284	9064	22739
285	9091	22696
286	9114	22644
287	9144	22607
288	9169	22558
289	9191	22504
290	9216	22454
291	9240	22405
292	9262	22350
293	9288	22304
294	9311	22253
295	9333	22198
296	9357	22148
297	9384	22106
298	9408	22058
299	9432	22009
300	9457	21963
301	9481	21913
302	9504	21862
303	9537	21835
304	9563	21791
305	9588	21746
306	9616	21707
307	9640	21660
308	9668	21620
309	9702	21596
310	9731	21560
311	9760	21523
312	9789	21486
313	9819	21452
314	9844	21407
315	9871	21367
316	9900	21332
317	9924	21285
318	9952	21247
319	9976	21201
320	10002	21156
321	10026	21110
322	10052	21070
323	10078	21027
324	10101	20981
325	10127	20939
326	10153	20897
327	10176	20849
328	10201	20805
329	10229	20768
330	10251	20718
331	10275	20675
332	10300	20632
333	10324	20587
334	10346	20538
335	10372	20497
336	10395	20451
337	10418	20405
338	10441	20359
339	10466	20318
340	10489	20271
341	10520	20240
342	10547	20203
343	10587	20189
344	10621	20165
345	10655	20141
346	10688	20113
347	10721	20088
348	10751	20054
349	10782	20024
350	10812	19992
351	10849	19972
352	10888	19957
353	10928	19943
354	10969	19930
355	11011	19918
356	11048	19900
357	11092	19891
358	11134	19880
359	11172	19862
360	11211	19845
361	11256	19839
362	11297	19824
363	11346	19825
364	11396	19826
365	11438	19813
366	11480	19802
367	11518	19782
368	11557	19763
369	11599	19749
370	11646	19745
371	11682	19721
372	11716	19695
373	11750	19667
374	11782	19637
375	11811	19601
376	11840	19565
377	11873	19537
378	11905	19506
379	11936	19475
380	11969	19445
381	12001	19416
382	12032	19384
383	12063	19351
384	12095	19320
385	12131	19297
386	12159	19260
387	12195	19236
388	12228	19207
389	12260	19176
390	12292	19146
391	12324	19116
392	12354	19081
393	12383	19046
394	12413	19013
395	12441	18976
396	12469	18939
397	12497	18903
398	12527	18869
399	12561	18842
400	12595	18815
401	12624	18779
402	12654	18746
403	12682	18709
404	12712	18676
405	12744	18645
406	12775	18613
407	12802	18576
408	12832	18542
409	12864	18512
410	12892	18476
411	12923	18444
412	12954	18412
413	12985	18379
414	13017	18349
415	13046	18314
416	13077	18283
417	13110	18254
418	13142	18224
419	13171	18189
420	13202	18157
421	13231	18123
422	13259	18086
423	13293	18059
424	13324	18027
425	13352	17991
426	13381	17956
427	13414	17927
428	13444	17894
429	13473	17859
430	13505	17829
431	13534	17795
432	13564	17762
433	13593	17728
434	13627	17700
435	13664	17675
436	13704	17655
437	13737	17626
438	13769	17595
439	13803	17567
440	13836	17538
441	13873	17514
442	13912	17492
443	13950	17469
444	13985	17442
445	14025	17421
446	14062	17396
447	14095	17368
448	14130	17340
449	14167	17315
450	14197	17282
451	14229	17251
452	14258	17217
453	14292	17188
454	14331	17165
455	14374	17148
456	14412	17124
457	14451	17102
458	14493	17082
459	14535	17063
460	14583	17051
461	14630	17037
462	14665	17009
463	14703	16985
464	14743	16962
465	14778	16934
466	14810	16903
467	14838	16868
468	14861	16826
469	14886	16786
470	14914	16751
471	14941	16714
472	14968	16677
473	14998	16644
474	15026	16608
475	15052	16570
476	15078	16532
477	15104	16494
478	15130	16457
479	15158	16421
480	15184	16383
481	15209	16345
482	15233	16305
483	15258	16267
484	15284	16230
485	15312	16194
486	15336	16155
487	15361	16117
488	15386	16078
489	15411	16040
490	15436	16002
491	15459	15962
492	15482	15921
493	15506	15882
494	15536	15850
495	15562	15813
496	15588	15776
497	15615	15740
498	15641	15704
499	15671	15671
500	15700	15637
501	15725	15599
502	15757	15569
503	15784	15533
504	15810	15497
505	15837	15461
506	15865	15427
507	15894	15393
508	15922	15359
509	15949	15323
510	15977	15289
511	16003	15253
512	16029	15216
513	16055	15180
514	16078	15142
515	16101	15103
516	16125	15065
517	16148	15026
518	16172	14987
519	16198	14952
520	16220	14913
521	16244	14874
522	16268	14837
523	16291	14799
524	16314	14760
525	16340	14725
526	16365	14688
527	16388	14650
528	16410	14611
529	16433	14572
530	16460	14538
531	16490	14506
532	16517	14472
533	16541	14435
534	16568	14400
535	16596	14366
536	16623	14332
537	16647	14295
538	16674	14261
539	16699	14225
540	16727	14191
541	16752	14155
542	16783	14125
543	16808	14089
544	16831	14051
545	16855	14015
546	16878	13978
547	16902	13941
548	16929	13907
549	16958	13875
550	16988	13843
551	17020	13813
552	17051	13783
553	17084	13754
554	17118	13725
555	17156	13700
556	17200	13679
557	17237	13654
558	17273	13626
559	17312	13602
560	17347	13574
561	17379	13544
562	17411	13515
563	17444	13485
564	17476	13455
565	17504	13422
566	17537	13392
567	17573	13365
568	17611	13339
569	17644	13310
570	17678	13281
571	17715	13255
572	17751	13228
573	17786	13200
574	17837	13184
575	17880	13162
576	17915	13133
577	17958	13111
578	18007	13093
579	18057	13076
580	18102	13055
581	18143	13030
582	18174	12999
583	18205	12968
584	18241	12940
585	18278	12913
586	18317	12888
587	18355	12861
588	18392	12834
589	18431	12808
590	18469	12781
591	18504	12753
592	18536	12722
593	18572	12694
594	18602	12662
595	18632	12630
596	18663	12598
597	18694	12567
598	18725	12535
599	18756	12504
600	18788	12473
601	18819	12442
602	18855	12413
603	18886	12382
604	18915	12349
605	18944	12317
606	18976	12286
607	19006	12254
608	19038	12223
609	19070	12192
610	19099	12160
611	19126	12126
612	19156	12093
613	19187	12062
614	19216	12030
615	19251	12000
616	19288	11973
617	19321	11942
618	19352	11911
619	19382	11879
620	19411	11846
621	19442	11815
622	19472	11783
623	19500	11750
624	19529	11717
625	19559	11685
626	19589	11653
627	19629	11627
628	19667	11600
629	19697	11568
630	19724	11534
631	19753	11501
632	19781	11469
633	19809	11435
634	19836	11401
635	19872	11373
636	19905	11343
637	19935	11311
638	19964	11278
639	19991	11245
640	20023	11214
641	20048	11179
642	20085	11151
643	20121	11122
644	20151	11091
645	20177	11056
646	20203	11022
647	20229	10988
648	20253	10953
649	20275	10917
650	20299	10882
651	20322	10847
652	20349	10813
653	20373	10778
654	20401	10745
655	20425	10710
656	20452	10677
657	20477	10643
658	20503	10609
659	20528	10575
660	20554	10541
661	20585	10510
662	20613	10477
663	20638	10443
664	20665	10410
665	20691	10376
666	20719	10344
667	20747	10311
668	20773	10278
669	20798	10244
670	20822	10209
671	20848	10176
672	20871	10141
673	20897	10107
674	20925	10075
675	20950	10041
676	20974	10007
677	20999	9973
678	21022	9938
679	21045	9903
680	21070	9869
681	21095	9836
682	21118	9801
683	21143	9767
684	21166	9733
685	21188	9698
686	21214	9665
687	21240	9632
688	21263	9597
689	21285	9563
690	21309	9529
691	21332	9495
692	21357	9461
693	21384	9429
694	21408	9394
695	21431	9360
696	21455	9327
697	21480	9293
698	21502	9259
699	21532	9228
700	21555	9194
701	21580	9160
702	21604	9127
703	21628	9093
704	21652	9060
705	21677	9027
706	21699	8992
707	21724	8959
708	21747	8926
709	21770	8892
710	21793	8858
711	21817	8825
712	21843	8792
713	21871	8760
714	21897	8728
715	21925	8696
716	21957	8666
717	21984	8634
718	22009	8601
719	22031	8567
720	22056	8535
721	22079	8501
722	22107	8469
723	22136	8438
724	22160	8405
725	22184	8372
726	22210	8340
727	22235	8307
728	22262	8275
729	22295	8246
730	22326	8215
731	22355	8184
732	22385	8154
733	22415	8123
734	22443	8092
735	22473	8061
736	22500	8029
737	22528	7998
738	22556	7966
739	22582	7934
740	22611	7903
741	22639	7871
742	22666	7840
743	22697	7809
744	22726	7778
745	22756	7748
746	22785	7717
747	22816	7686
748	22850	7657
749	22880	7626
750	22911	7596
751	22942	7566
752	22977	7536
753	23009	7507
754	23039	7476
755	23071	7446
756	23099	7415
757	23129	7384
758	23158	7353
759	23188	7322
760	23214	7290
761	23244	7260
762	23275	7229
763	23308	7200
764	23343	7170
765	23379	7141
766	23414	7112
767	23447	7083
768	23486	7054
769	23520	7025
770	23559	6997
771	23593	6967
772	23632	6940
773	23672	6912
774	23714	6884
775	23745	6854
776	23781	6825
777	23818	6796
778	23848	6765
779	23880	6735
780	23914	6705
781	23944	6674
782	23973	6644
783	24010	6615
784	24040	6584
785	24070	6553
786	24098	6522
787	24128	6491
788	24156	6460
789	24184	6428
790	24213	6397
791	24241	6366
792	24272	6335
793	24302	6305
794	24336	6275
795	24368	6245
796	24401	6215
797	24436	6185
798	24470	6156
799	24504	6126
800	24533	6094
801	24564	6064
802	24593	6033
803	24625	6003
804	24653	5971
805	24682	5940
806	24710	5909
807	24740	5879
808	24769	5847
809	24799	5817
810	24831	5786
811	24862	5756
812	24895	5726
813	24925	5695
814	24959	5665
815	24992	5635
816	25028	5606
817	25064	5576
818	25098	5546
819	25132	5516
820	25165	5486
821	25197	5456
822	25229	5425
823	25260	5395
824	25294	5365
825	25329	5335
826	25361	5305
827	25393	5274
828	25428	5245
829	25461	5214
830	25492	5184
831	25524	5154
832	25553	5122
833	25578	5091
834	25607	5060
835	25633	5028
836	25656	4996
837	25682	4964
838	25707	4933
839	25733	4901
840	25757	4869
841	25786	4838
842	25810	4806
843	25837	4775
844	25860	4743
845	25886	4712
846	25911	4680
847	25942	4649
848	25969	4618
849	25994	4587
850	26021	4556
851	26047	4524
852	26076	4493
853	26107	4463
854	26135	4432
855	26160	4400
856	26188	4369
857	26212	4338
858	26238	4306
859	26266	4275
860	26294	4244
861	26324	4214
862	26350	4183
863	26376	4151
864	26401	4120
865	26427	4089
866	26455	4058
867	26480	4026
868	26507	3995
869	26535	3965
870	26562	3934
871	26590	3903
872	26622	3872
873	26653	3842
874	26685	3812
875	26722	3782
876	26752	3752
877	26785	3721
878	26821	3692
879	26857	3662
880	26894	3632
881	26933	3603
882	26965	3573
883	26995	3542
884	27023	3511
885	27054	3481
886	27088	3451
887	27127	3421
888	27162	3391
889	27193	3360
890	27222	3330
891	27252	3299
892	27283	3269
893	27315	3238
894	27345	3208
895	27373	3177
896	27404	3146
897	27432	3115
898	27466	3085
899	27499	3055
900	27527	3024
901	27557	2994
902	27585	2963
903	27614	2932
904	27641	2901
905	27668	2870
906	27692	2839
907	27716	2808
908	27740	2777
909	27764	2745
910	27787	2714
911	27811	2683
912	27837	2652
913	27862	2621
914	27888	2590
915	27914	2559
916	27937	2528
917	27961	2497
918	27989	2466
919	28013	2435
920	28038	2405
921	28066	2374
922	28095	2343
923	28127	2313
924	28156	2282
925	28183	2252
926	28206	2221
927	28234	2190
928	28260	2159
929	28286	2129
930	28316	2098
931	28343	2068
932	28369	2037
933	28395	2006
934	28421	1975
935	28448	1945
936	28473	1914
937	28503	1883
938	28529	1853
939	28554	1822
940	28581	1792
941	28607	1761
942	28636	1730
943	28667	1700
944	28695	1670
945	28722	1639
946	28752	1609
947	28781	1578
948	28807	1548
949	28835	1517
950	28860	1487
951	28885	1456
952	28911	1425
953	28935	1395
954	28958	1364
955	28984	1334
956	29009	1303
957	29033	1272
958	29059	1242
959	29081	1211
960	29103	1181
961	29129	1150
962	29157	1120
963	29183	1089
964	29210	1059
965	29234	1028
966	29262	998
967	29287	968
968	29314	937
969	29339	907
970	29365	877
971	29390	846
972	29414	816
973	29438	785
974	29466	755
975	29492	725
976	29512	694
977	29537	664
978	29565	634
979	29592	603
980	29619	573
981	29649	543
982	29673	513
983	29698	482
984	29723	452
985	29747	422
986	29770	392
987	29796	361
988	29820	331
989	29845	301
990	29869	271
991	29894	241
992	29916	210
993	29942	180
994	29969	150
995	29994	120
996	30016	90
997	30040	60
998	30065	30
999	30090	0
